ten_cong_viec,ten_cong_ty,muc_luong,dia_chi,ngay_dang,nganh_nghe,quy_mo_cong_ty,quoc_tich_cong_ty,nam_kinh_nghiem,cap_bac,loai_hinh,loai_hop_dong,cong_nghe_su_dung,quy_trinh_phong_van,mo_ta_cong_viec,url,thoi_gian_hien_tai
Drupal Developer,InterGreat Education Group,Thương lượng,"Tầng 20, Tòa ICON4, 243A Đê La Thành, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội",Đăng 4 giờ trước,Giáo dục,25-99 Nhân viên,"China, India, United-Kingdom, Vietnam",Từ 2 năm,"Middle, Senior",In Office,Fulltime,"PHP, Drupal, GitFlow",Vòng 1: CV screenning => Phone Interview => Face to Face Interview => Offer,"We are searching for Drupal Developers to join our team. As a Drupal Developer, you will be responsible for developing and maintaining websites and web applications using Drupal. Your duties will include coding, debugging, testing, and implementing web-based applications using Drupal. You will also be required to troubleshoot and provide solutions to technical problems. Trách nhiệm công việc Develop, maintain, and enhance web-based applications using Drupal Write clean, maintainable, and efficient code Develop custom Drupal modules and themes to enhance functionality and user experience Troubleshoot and resolve technical issues as they arise Work closely with other developers, designers, and project managers to ensure the timely delivery of projects Stay up-to-date with the latest Drupal updates and technologies Kỹ năng & Chuyên môn At least 2 years developing web applications with Drupal 8, 9 Strong knowledge of PHP to develop web-based applications Solid experience with MySQL and writing efficient SQL queries for reporting Good experience with unit testing Good JavaScript skills Having experience with any JavaScript front-end framework Having knowledge of Git, GitFlow Experienced third-party system connection: payment gateway, shipping … Ability to write optimized SQL queries, interact on big data Good communication and teamwork skills Phúc lợi dành cho bạn Negotiable salary depending on experience and qualifications. (up to $1800) Annual salary review, Annual Bonus Annual leave, and working conditions follow Vietnam labor laws. Social, Health, and Unemployment Insurance based on full salary. International, dynamic, friendly working environment Support for learning and certificate examination Annual vacation: follows company’s policy every year Opportunity to build a long-term relationships with colleagues via multiple projects Working time: Monday - Friday 9 AM - 6 PM",https://topdev.vn/viec-lam/drupal-developer-intergreat-education-group-2034640?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
Trưởng Nhóm Kỹ Thuật (Technical Leader),The Black Ants,Thương lượng,"Tầng 7, Toà nhà Bưu Điện Đà Năng, 271 Nguyễn Văn Linh, Phường Vĩnh Trung, Quận Thanh Khê, Thành phố Đà Nẵng",Đăng 4 giờ trước,Gia công phần mềm,10-24 Nhân viên,Vietnam,Từ 2 năm,Trưởng Nhóm,In Office,Fulltime,"Python, NodeJS, ReactJS","Vòng 1: Phỏng vấn với HR, Vòng 2: Phỏng vấn Technical","Trách nhiệm công việc Thiết kế, phát triển và triển khai các dịch vụ của Công ty. Tham gia vào tất cả các bước phát triển sản phẩm phần mềm từ phân tích, thiết kế tới triển khai và vận hành; Tham gia thiết kế, triển khai các dịch vụ/giải pháp của dự án; Tối ưu chức năng và hiệu năng của hệ thống; Deploy hệ thống Webapp, Tool trong các môi trường Staging và Product. Đảm bảo tiến độ và chất lượng lập trình Quản lý đội nhóm. Kỹ năng & Chuyên môn Tốt nghiệp đại học hoặc tương đương chuyên ngành IT. Có kinh nghiệm, kỹ năng quản lý tối thiểu là 2 năm Có kinh nghiệm thiết kế phần mềm, có thể thực hiện phân tích yêu cầu hệ thống và thiết kế kiến trúc. Kỹ năng code tốt và có khả năng đào tạo, nâng cao năng lực của đội nhóm. Thành thạo một ngôn ngữ lập trình Back-end: Node.js (ưu tiên), Python… Kinh nghiệm lập trình front-end: ReactJS, AngularJS Có kinh nghiệm làm việc về một số loại Database: MongoDB, MySQL, postgresql… Sử dụng thành thạo các công cụ quản lý Source Code như: Git … Có kinh nghiệm về DevOps là một lợi thế… Có tinh thần làm việc của startup, chịu được áp lực công việc, quản lý phát triển nhiều dự án cùng lúc. Có khả năng đọc hiểu tiếng Anh chuyên ngành. Kỹ năng lãnh đạo, giải quyết vấn đề và giao tiếp tốt. Phúc lợi dành cho bạn Lương hàng tháng: thoả thuận Thử việc 03 tháng Phụ cấp hàng tháng bao gồm: chuyên cần, trách nhiệm, tiền ăn,... Làm việc trong môi trường năng động, chuyên nghiệp, được tự do thể hiện năng lực bản thân. Được đóng đầy đủ BHXH, BHYT, BHTN sau khi ký kết HĐLĐ. Thưởng các dịp lễ Tết và các chế độ đãi ngộ, phúc lợi khác theo quy định, chính sách của công ty. Thưởng năm, thưởng doanh thu, lương tháng thứ 13. Du lịch hằng năm theo quy định của công ty. Đào tạo hằng năm. Địa điểm làm việc: Phòng số 46, tầng 7, Toà nhà Bưu Điện Thành phố Đà Nẵng, 271 Nguyễn Văn Linh, Phường Vĩnh Trung, Quận Thanh Khê, Thành phố Đà Nẵng Thời gian làm việc: Thứ 2- Thứ 7(từ 08:00 đến 17:00)",https://topdev.vn/viec-lam/truong-nhom-ky-thuat-technical-leader-the-black-ants-2034637?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
IT Helpdesk,SanAn,Lên tới 10.000.000 VND,"Tầng 1, CIC Tower, số 1 Nguyễn Thị Duệ, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội",Đăng 5 giờ trước,Software,25-99 Nhân viên,Vietnam,Từ 1 năm,"Junior, Middle, Senior",In Office,Fulltime,"Linux, IT Helpdesk, Windows",Khong co thong tin,"Trách nhiệm công việc Triển khai công cụ hỗ trợ nghiệp vụ & xây dựng quy trình nghiệp vụ IT cho người dùng cuối: Tìm hiểu và đánh giá các công cụ (tools) tối ưu hỗ trợ nghiệp vụ văn phòng, đảm bảo chúng phù hợp với yêu cầu công việc và tối ưu hóa hiệu suất làm việc của các phòng ban. Hỗ trợ người dùng cuối trong quá trình triển khai và sử dụng các công cụ này. Xâydựng các tài liệu hướng dẫn sử dụng công cụ (manuals) để hỗ trợ người dùng trong việc nắm bắt và sử dụng các ứng dụng, hệ thống một cách hiệu quả. Thiết lập các quy trình liên quan đến các nghiệp vụ IT, xây dựng và triển khai các công cụ tiếp nhận và quản lý yêu cầu hỗ trợ IT từ các phòng ban, đảm bảo tính hiệu quả, nhanh chóng, nhất quán và dễ dàng tuân thủ. Hỗ trợ kỹ thuật phần cứng và phần mềm: Cung cấp hỗ trợ kỹ thuật liên quan đến phần cứng và phần mềm, bao gồm cài đặt, cấu hình, và khắc phục sự cố thiết bị máy tính, máy in, và các thiết bị ngoại vi khác. Đảm bảo các hệ thống và ứng dụng hoạt động ổn định, đáp ứng yêu cầu công việc của người dùng. Quản lý và duy trì hệ thống mạng: Thiết lập và quản lý hệ thống mạng nội bộ (LAN/WAN), hệ thống camera an ninh, và hệ thống kiểm soát ra vào bằng vân tay trong văn phòng. Giám sát và bảo trì hệ thống để đảm bảo hoạt động liên tục, không gián đoạn Hỗ trợ an ninh thông tin (Information Security): Phối hợp với các bộ phận liên quan để thực hiện các công việc đảm bảo an ninh thông tin, bảo vệ dữ liệu và phòng chống rủi ro bảo mật. Cài đặt, điều tra và xử lý các lỗi liên quan đến phần mềm trong môi trường bảo mật cao. Lập kế hoạch và báo cáo công việc: Xây dựng và thực hiện kế hoạch công việc hàng tháng, bao gồm quản lý tiến độ, ưu tiên các nhiệm vụ và đảm bảo hoàn thành đúng thời hạn. Lập báo cáo tổng kết công việc theo quý, phân tích kết quả và đề xuất các cải tiến để nâng cao hiệu quả hoạt động của bộ phận IT. Hỗ trợ & tư vấn giải pháp cho khách hàng đang sử dụng dịch vụ phần mềm của công ty: Hỗ trợ cài đặt, điều tra và xử lý lỗi phần mềm cho các trường học có sử dụng SanAn Kids, đảm bảo phần mềm hoạt động ổn định và đáp ứng nhu cầu giáo dục. Tư vấn các giải pháp phần cứng/phần mềm cho nhà trường, đồng thời làm cầu nối giữa nhà trường và các nhà cung cấp dịch vụ, đảm bảo việc triển khai các giải pháp công nghệ được thực hiện hiệu quả và tối ưu. Kỹ năng & Chuyên môn Tốt nghiệp đại học chuyên ngành Quản trị mạng hoặc các chuyên ngành liên quan. Có ít nhất 1 năm kinh nghiệm làm IT helpdesk Có khả năng tư duy và giải quyết vấn đề tốt. Có sự linh hoạt và sáng tạo trong cách suy nghĩ, không lối mòn. Sử dụng thành thạo máy tính, máy tính bảng, MS Office, hệ điều hành Windows. Ưu tiên ứng viên có hiểu biết tốt về MacOSX và Linux Có kinh nghiệm xử lý sự cố về máy tính, tương thích phần cứng, phần mềm với các hệ điều hành. Hiểu biết sâu về công nghệ mạng, mô hình mạng OSI, TCP/IP, IPv6, quản lý địa chỉ IP, tối ưu hoá mạng WAN và kiểm soát truy cập Ưu tiên ứng viên có chứng chỉ MCSA/CCNA Phúc lợi dành cho bạn Thu nhập hàng tháng: UPTO 10,000,000 (Lương gộp). Có thể thỏa thuận thêm theo năng lực. Môi trường làm việc công ty startup trẻ trung, vui vẻ, hòa đồng, thân thiện, chuyên nghiệp, được tiếp cận và làm việc với các công nghệ mới, năng động và lộ trình thăng tiến rõ ràng. Tham gia các buổi seminar chia sẻ về kỹ năng & kiến thức từ các thành viên trong công ty và các developer nhiều năm kinh nghiệm. Cơ hội phát triển lên các vị trí key member, leader trong một môi trường công ty tăng trưởng nhanh. Hưởng đầy đủ chế độ: BHYT, BHXH, BHTN… Được tham gia các hoạt động văn hóa đoàn thể trong năm: Nghỉ mát, teambuilding, thể thao… Hưởng các chương trình phúc lợi nội bộ: Khám sức khỏe định kỳ, nghỉ 12 ngày/năm, thêm 1 ngày phép vào ngày sinh nhật của nhân viên và 2 Recharge days. Review tăng lương và thưởng 2 lần/năm (tăng lương theo thâm niên và thành tích). Thưởng Tết bao gồm: tháng lương thứ 13 + thưởng theo doanh số (dựa theo tình hình kinh doanh của công ty theo từng năm). Môi trường startup với các dự án giáo dục và outsourcing, tạo điều kiện cho sự sáng tạo và phát triển. Thời gian làm việc Core time linh hoạt về thời gian và địa điểm, cho phép bạn tự quản lý lịch trình của mình. Dễ dàng cân đối giữa côngviệc và cuộc sống với số ngày nghỉ phép lên đến 21 ngày trong năm",https://topdev.vn/viec-lam/it-helpdesk-sanan-2034639?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
Odoo Developer,ILA Vietnam,Thương lượng,"The Crest Residence, 15 Trần Bạch Đằng, Phường An Khánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",Đăng 5 giờ trước,Giáo dục,500-999 Nhân viên,Vietnam,Từ 2 năm,"Junior, Middle",In Office,Fulltime,"Python, ERP, Odoo",Vòng 1: Only 1 round with Software Manager,"Trách nhiệm công việc Participate in the technical design, application development, and maintenance of Odoo (former name is Open ERP, www.odoo.com) ERP systems Contribute to the entire implementation process for new applications and enhancements to existing applications. Ensure quality with review, user acceptance tests and automated test. Support and improve application deployment process. Work in team to develop software products in various types of web application, enterprise application, mobile application or web services. Daily cooperate with customer to clarify requirements, initiative solutions and develop deliverable software in the iterations. Be involved in every phases of software development process includes planning, estimating and developing. Self-assign tasks and fully be responsible for quality/quantity of delivered result. Self-determine appropriate architecture, technical solutions and make relevant recommendations to customer. Meet with business partners to understand business needs. Contribute to overall solution design. Responsible for build and test of applications. Conduct root cause analysis and complex performance tuning. Kỹ năng & Chuyên môn 2+ years experience with Odoo. Bsc degree in software engineering/Computer science. Strong commitment, integrity, proactivity, positive thinking and a good team player. Detail oriented, strong self learning skills. Experience with Python experience with Odoo is highly preferred. Experience with AJAX, XML, CSS/ HTML/JavaScript. Experience with ERP is highly preferred. Phúc lợi dành cho bạn Competitive salary package 14 days annual leave based on employee grade within the business Healthcare insurance Health Check Performance Bonus English Courses Discount (up to 90%) ILA Party, Training, Engagement activities Mon - Fri",https://topdev.vn/viec-lam/odoo-developer-ila-vietnam-2034638?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
Quality Assurance,DTN E-COMMERCE SOFTWARE COMPANY LIMITED,300 USD to 700 USD,"B12B-02, khu đô thị Vinhomes Gardenia, đường Hàm Nghi, Phường Cầu Diễn, Quận Nam Từ Liêm, Thành phố Hà Nội",Đăng 6 giờ trước,Phần Mềm,25-99 Nhân viên,Vietnam,Từ 1 năm,"Junior, Middle, Senior",In Office,Fulltime,"QA, Tester, Web Tester","Vòng 1: Phỏng vấn online, Vòng 2: Làm bài test tại văn phòng công ty","DTN E-Commerce Solutions is a dynamic company specializing in comprehensive e-commerce solutions for international clients across the US, Denmark, Australia, the UK, Malaysia, and more. We’re seeking a meticulous and proactive Quality Assurance professional to ensure the highest standards for our client projects. As a Quality Assurance Specialist, you will work closely with our clients and development team to ensure seamless project delivery and maintain exceptional quality across our e-commerce projects. Trách nhiệm công việc Engage with clients to understand and clarify e-commerce project requirements. Collaborate with the programming team to assign tasks, monitor progress, and troubleshoot issues as they arise. Conduct comprehensive testing to ensure the quality, functionality, and performance of websites. Provide continuous support to clients, ensuring their requirements are met and expectations exceeded. Kỹ năng & Chuyên môn Strong proficiency in English, both written and verbal, for effective client communication. Preferred experience in web and software testing, with a good understanding of QA methodologies and tools. Proficient in Microsoft Office Suite for project documentation and reporting. Detail-oriented, proactive, and resilient with a high sense of responsibility. Excellent teamwork abilities coupled with a professional and positive work ethic. Skilled in clear communication and confident, structured presentation of findings. Phúc lợi dành cho bạn Competitive Salary: Transparent structure based on qualifications, ranging from $300 - $700. Bonuses: Project-based bonuses up to 3 months salary per year, plus a 13th-month bonus. Professional Development: Training in project management and quality assurance, plus support for certification exams. Annual Salary Review: Regular increases based on performance and growth. Perks: Free lunch, parking allowance, twice-yearly company trips. Comprehensive Insurance per labor law. Work Environment: State-of-the-art infrastructure located in Villa B12B-02, Vinhomes Gardenia, Ham Nghi Street, Nam Tu Liem, Hanoi. Working Hours: Monday to Friday: 9:00 AM - 11:45 AM (Morning), 1:00 PM - 6:00 PM (Afternoon)",https://topdev.vn/viec-lam/quality-assurance-dtn-e-commerce-software-company-limited-2034636?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
Fullstack Developer Fresher + Middle,CÔNG TY CỔ PHẦN PHẦN MỀM VITEX VIỆT NAM,Thương lượng,"Tầng 12A, Tòa nhà Sông Đà Cầu Giấy, 18/165 đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Thành phố Hà Nội",Đăng 9 giờ trước,Software,25-99 Nhân viên,Vietnam,Không yêu cầu,"Fresher, Middle",In Office,Fulltime,"Laravel, React, NextJS","Vòng 1: Phỏng vấn qua điện thoại., Vòng 2: Phỏng vấn trực tiếp với người quản lý trực tiếp.","Trách nhiệm công việc Develop website applications; Create servers and databases for functionality; Ensure multi-platform optimization for mobile phones; Ensure application responsiveness; Work with graphic designers for web design features; Oversee a project from conception to finished product; Design and develop APIs; Meet both technical and consumer needs; Stay updated with web applications and programming languages developments. Kỹ năng & Chuyên môn Graduated from college/university in Information Technology or completed similar programming courses. Experience with Laravel, React/Next JS. Experience with Symfony, CakePHP, Vue/Angular JS is a plus. Experience or knowledge in Docker, CICD, Microservice is a plus. Good communication skills in English. Phúc lợi dành cho bạn Opportunity to enhance skills and experience by working with large, specialized software systems and professional processes. Dynamic, open working environment that promotes learning and personal development, with continuous training throughout the employment period. Competitive salary policy, continuous performance feedback, and a clear training and development plan for each employee. Workplace Location: 12A Floor, Song Da 1 Building, No. 18, Alley 165 Cau Giay, Quan Hoa, Cau Giay, Hanoi. Working Hours: 09:00 - 18:00 from Monday to Friday.",https://topdev.vn/viec-lam/fullstack-developer-fresher-middle-cong-ty-co-phan-phan-mem-vitex-viet-nam-2034635?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
Senior Bridge Software Engineer,CÔNG TY TNHH PERSOL CROSS TECHNOLOGY VIỆT NAM,Thương lượng,"Số 117-119, Đường Lý Chính Thắng, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh",Đăng 10 giờ trước,Phần Mềm,100-499 Nhân viên,Japan,Từ 2 năm,Senior,"Remote, Hybrid",Fulltime,"Git, Bridge SE, Japanese ( N1 Or N2)","Vòng 1: Phỏng vấn với Technical về kỹ thuật và chuyên môn, Vòng 2: Phỏng vấn với Manager - Định hướng phát triển cho ứng viên","Trách nhiệm công việc We are looking for BSE for Outsourcing Div. We will implement enterprise system for Japanese big company. Our headquarter engineer team discuss with client, define requirements and VietNam team will design/implement/test(UT/IT/ST). You will bridge JP team and VN team, management schedule/quality of VN team. There are many potential project, big-team(over10members) and small-team (2, 3 members), long-term and short-term project, waterfall model and Scrum model. etc. If you have experience of manage big-team and can keep high quality, it is suitable for you. Kỹ năng & Chuyên môn Must Japanese-Language Proficiency Test (JLPT) N1 or N2. Work in Japan over 3years or Work in Japanese company in VN over 5 years. Work as programmer over 2years. It is out of our requirement that candidate was became BSE from communicator or tester. Skill and Experience Experience of Leader. Experience of discuss about site-design with client and designer. Good at Japanese communication skills, respond to questions directly, promptly, without diverging from the subject too much. Good management skill and high responsibility. Good understanding of OOP concepts and design patterns Experienced with Version control systems (Git/ SVN) Phúc lợi dành cho bạn Performance review 2 times per year. Premium Health Insurance package (PVI) 13th-month salary Leave Paid: Summer holiday, Company birthday, Annual Leave (max 24days) Care programs: Wedding, Close family pass away, Giving Birth, Premium Insurance. Free Drinking: Coffee, Tea, Milk & Beer. Work-Life Balance: Baby care time policy for staffs have kids. Annual health checkup Online training courses Summer Holidays Global, friendly environment. We use English in our office. Employee Relationship: company trip, monthly team building Time working: 08:30 - 17:30 from Monday to Friday.",https://topdev.vn/viec-lam/senior-bridge-software-engineer-cong-ty-tnhh-persol-cross-technology-viet-nam-2034634?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
"Front-End Developer (ReactJS, VueJS, HTML)",LG CNS Việt Nam,Thương lượng,"Tầng 15, tòa Keangnam Landmark 72, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội",Đăng 11 giờ trước,Phần Mềm,100-499 Nhân viên,"South-Korea, Vietnam",Từ 3 năm,"Middle, Senior",In Office,Fulltime,"JavaScript, ReactJS, VueJS","Vòng 1: Book an Interview Schedule with HR manager., Vòng 2: 1st interview with VN Senior Leaders, Vòng 3: 2nd Interview with Kr Senior PM, Vòng 4: If passed, negotiate salary and bonus., Vòng 5: Confirm onboarding Date.","Trách nhiệm công việc LG CNS is looking for qualified Front-end developer Mission: Ensure the best possible performance, quality and responsiveness of applications on the front-end side Stay up to date on emerging technologies Exchange details when interviewing Manage and training members in your PART (if you were chosen as Part leader) Kỹ năng & Chuyên môn Required Have at least 3 years of experience (Prioritize high experience) Experienced web / mobile application development Can develop HTML, CSS, Javascript, jQuery Can develop based on React.js or Vue.js, Vuex Experienced with collaboration tools like Git, Jira and Confluence Understand and use CI/CD English speaking on average ( or TOEIC on 550) Preferred Understand Back-end Use Typescript Experienced with Node.js Experienced with javascript charts (Echarts, Chart.js, d3js, etc.) Experience using Tailwind, MUI OAuth development experience Korean communication Team management experience Phúc lợi dành cho bạn Attractive salary and bonus will be discussed after going through CV & Interview Review capacity annually and adjust salary increases according to work performance. Korean language certificate bonus (TOPIK) Health care: Premium health insurance, Annual health check-up Young working environment Good career development opportunities with interesting and challenging projects. English, Korean, technical, soft skills training courses. Opportunity to learn special courses from LG CNS, new technology and security. Gifts on holidays (April 30th - May 1st, September 2nd, Tet, etc.) Outdoor activities with company support: sports clubs, team building, happy hour parties, birthdays, travel, employee and family events, etc. Working hours: 8 hours from Monday - Friday (8:00 - 12:00 - 13:00 - 17:00)",https://topdev.vn/viec-lam/front-end-developer-reactjs-vuejs-html-lg-cns-viet-nam-2034633?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
Front-end Developer (ReactJS/Typescript),Space T,Thương lượng,"215 Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh",Đăng 12 giờ trước,E-commerce Platforms,10-24 Nhân viên,Vietnam,Từ 3 năm,"Middle, Senior",In Office,Fulltime,"JavaScript, ReactJS, TypeScript, NextJS",Khong co thong tin,"Space T is an all-in-one interior platform, offering community / construction/ e-commerce and making it easy and affordable for homeowners. Space T is on a mission to innovate space (Home, etc.) with technology and there are a number of existing problems to be solved through technology in the interior industry. Were looking for a Front-end Developer as per the description below. Trách nhiệm công việc Developing user-friendly responsive websites with modern technology (NextJS, ReactJS). Working directly with the Product Manager, UI/UX Designer, and other IT developers to clarify requirements and propose solutions. Participate in the complete software development cycle (Requirement analysis, planning, implementation, code review, testing, deployment, operation, monitoring...) with a focus on UX both for desktop and mobile web Research new technologies and share knowledge with colleagues. Kỹ năng & Chuyên môn Have 3+ years of work experience in front-end development. Strong experience in NextJS, ReactJS, TypeScript, JavaScript, HTML, CSS Good knowledge of Function Programming or OOP is a big plus. Being familiar with REST API Socket.io version 4 Google Firebase push notification (Server side) Excellent knowledge of browser troubleshooting and debugging Ability to read and understand technical documents in English (English is a big advantage) Have a good experience in source code patterns to be ready for teamwork and easy scale-up in the future. Strong analytical and problem solving skills. Proactive, honest and have awareness for self-improvement. Strong work ethic Nice to have Experience in Ecommerce web development Experience in SEO Phúc lợi dành cho bạn Truly startup spirit. No bureaucracy, no hierarchy. Everyone is a leader here, you have the freedom to pursue and achieve your goals. Huge responsibilities from Day 1. Be the owner of your own learning curve. The possibilities are limitless and depend on you. Working hour: 9:00 - 18:00, 5 work days per week, 12 annual leave days. Competitive salary, 13-month salary. Full salary in probation period Social insurance, health insurance, and unemployment insurance You get to work in a very dynamic environment and be part of an international team Global and friendly working environments Employee referral bonus: 10,000,000. Salary review once per year.",https://topdev.vn/viec-lam/front-end-developer-reactjs-typescript-space-t-2034632?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
Mid MTS (Mobile Trading System) Developer - Android/iOS,DaouKiwoom Innovation,1.000 USD to 2.000 USD,"AP Tower, 518B Điện Biên Phủ, Phường 21, Quận Bình Thạnh, Thành phố Hồ Chí Minh",Đăng 13 giờ trước,Phần Mềm,100-499 Nhân viên,South-Korea,Từ 2 năm,"Middle, Senior",In Office,Fulltime,"Android, iOS, JavaScript, Mobile","Vòng 1: Interview with Tech Lead, CTO, Vòng 2: Salary Negotiation","Trách nhiệm công việc Develop Mobile Stock Trading app using JavaScript under the Kiwoom platform Work directly with remote team to clarify tasks and requirements Develop new features based on the user requirements (analyzing requirements and system design) Fix the reported problems/bugs of the system during the integration test, the user acceptance test, and the test for maintenance Managing time and resources based on the WBS Compile a weekly-report about the progress of tasks Perform self-learning about a domain knowledge, write a report and conduct a seminar about it Write high-quality, clean, elegant, maintainable, and testable code Maintaining technical documents up-to-date Mentor junior developers and conduct technical training when needed You will have the chance to be involved with each stage of different projects, to various aspects of software engineering and fostering your career growth. Kỹ năng & Chuyên môn Skills Required Minimum 2-3 years of professional experience in mobile app development using JavaScript or iOS/Android native. Experience and knowledge in markup language, including HTML, CSS is a must. Ability to write clean, easy to understand code. Solid understanding of the full mobile development life cycle Familiarity with version control systems, such as Git or SVN. Familiarity with issues tracking tools, such as Redmine. Strong problem-solving and analytical skills. Bachelors Degree in Computer Science/Information Technology or relevant fields. Able to communicate in English, written and spoken (processed by English interview). Strong communication skills and teamwork, international experience is preferred. Experience operating in an Agile environment, with a deep understanding of agile development principles. Give Reference Over 1 year of experience in developing securities solutions, including a smartphone-based trading platform utilizing the Mobile Trading System (MTS) Proficient in utilizing the Mobile development Framework (Ionic, PhoneGap, React, Vue, Nexacro) Experience on working with oversea team. Mission Supporting IT Development and Maintenance of the Stock Trading Platform developed based on the Kiwoom Framework for Kiwoom Indonesia, Finansia (in Thailand), and so on SPECIAL OFFER Providing training and education experience in Korea with Korean Finance/IT expert Providing opportunitites to work and support in IT/Finance fields overseas Phúc lợi dành cho bạn Competitive salary, salary review once a year 13th month salary and Annual Performance Bonus MVP and Shining star awards at the end of year Global and professional working environment Full SHUI as Vietnamese Law Premium Private Medical Insurance PVI and annual health check 15-day annual leave, Christmas leave and 30-mins menstrual leave for women Company trip, YEP and monthly gathering time Gifts on special occasion and fully stocked snack corner Sponsored training courses and book purchase quarterly Be well-equipped with new working equipment",https://topdev.vn/viec-lam/mid-mts-mobile-trading-system-developer-android-ios-daoukiwoom-innovation-2034631?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
