ten_cong_viec,ten_cong_ty,muc_luong,dia_chi,ngay_dang,nganh_nghe,quy_mo_cong_ty,quoc_tich_cong_ty,nam_kinh_nghiem,cap_bac,loai_hinh,loai_hop_dong,cong_nghe_su_dung,quy_trinh_phong_van,url
['Fresher Java Developer (English/Chinese)'],['Cathay Life'],['Thương lượng'],"['Tòa nhà The World Center, 46-48-50 Phạm Hồng Thái, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh']",['Đăng 5 giờ trước'],['Bảo Hiểm'],['Hơn 1000 Nhân viên'],['Taiwan'],['Không yêu cầu'],['Fresher'],['In Office'],['Fulltime'],"['Java', 'JavaScript', 'Java Swing']",[],https://topdev.vn/viec-lam/fresher-java-developer-english-chinese-cathay-life-2034482?src=topdev_search&medium=searchresult
['TRUNG TÂM ĐỔI MỚI SÁNG TẠO - LẬP TRÌNH VIÊN JAVA'],['Tổng Công ty Bưu điện Việt Nam (Vietnam Post)'],['20.000.000 VND to 30.000.000 VND'],"['Tòa nhà Vietnam Post - Số 5 Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 6 giờ trước'],['Logistics'],['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 3 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['Java', 'Restful Api', 'PostgreSql']","['Vòng 1: Phỏng vấn qua điện thoại', 'Vòng 2: Phỏng vấn trực tiếp', 'Vòng 3: Trao đổi với lãnh đạo cấp cao hơn (nếu có)']",https://topdev.vn/viec-lam/trung-tam-doi-moi-sang-tao-lap-trinh-vien-java-tong-cong-ty-buu-dien-viet-nam-vietnam-post-2034481?src=topdev_search&medium=searchresult
['System Engineer'],['Công ty Cổ phần Công nghệ Truyền thông Việt Nam (VNTT)'],['Thương lượng'],"['Số 02, Đường Tiên Phong 03, Khu Công nghệ cao Maple Tree, Phường Hoà Phú, Thành phố Thủ Dầu Một, Tỉnh Bình Dương']",['Đăng 20 giờ trước'],['Dịch vụ doanh nghiệp'],['100-499 Nhân viên'],['Vietnam'],['Từ 3 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['IT Security', 'Security Engineer', 'System Security']","['Vòng 1: Phỏng vấn qua điện thoại', 'Vòng 2: Phỏng vấn trực tiếp với Trưởng', 'Vòng 3: Deal lương']",https://topdev.vn/viec-lam/system-engineer-cong-ty-co-phan-cong-nghe-truyen-thong-viet-nam-vntt-2034305?src=topdev_search&medium=searchresult
['Middle - Senior Java Developer'],['WATA Software'],['Thương lượng'],"['Tòa nhà 3 Bees, 281 Nguyễn Văn Trỗi, Phường 10, Quận Phú Nhuận, Thành phố Hồ Chí Minh']",['Đăng 20 giờ trước'],['Phần Mềm'],['25-99 Nhân viên'],['Vietnam'],['Từ 3 năm'],"['Middle, Senior']",['In Office'],"['Fulltime', 'Part-time']","['Java', 'Spring', 'Angular']","['Vòng 1: Phone Interview', 'Vòng 2: Technical Interview', 'Vòng 3: Growth mindset interview']",https://topdev.vn/viec-lam/middle-senior-java-developer-wata-software-2034239?src=topdev_search&medium=searchresult
['Cán Bộ IT Bảo Mật Hệ Thống Công Nghệ Thông Tin'],['Tổ chức tài chính vi mô TNHH MTV Tình Thương (trực thuộc Hội Liên hiệp Phụ nữ Việt Nam)'],['Lên tới 1.000 USD'],"['Tầng 3 - Tòa B - Trung tâm Phụ nữ và Phát triển, số 20, Phường Thụy Khuê, Quận Tây Hồ, Thành phố Hà Nội']",['Đăng 20 giờ trước'],"['Ngân Hàng, Tài Chính']",['500-999 Nhân viên'],['Vietnam'],['Từ 2 năm'],"['Junior, Middle']",['In Office'],['Fulltime'],"['IT Security', 'Security Engineer', 'System Security']","['Vòng 1: Sơ loại hồ sơ', 'Vòng 2: Thi tuyển (nghiệp vụ và tiếng Anh) và phỏng vấn']",https://topdev.vn/viec-lam/can-bo-it-bao-mat-he-thong-cong-nghe-thong-tin-to-chuc-tai-chinh-vi-mo-tnhh-mtv-tinh-thuong-truc-thuoc-hoi-lien-hiep-phu-nu-viet-nam-2034361?src=topdev_search&medium=searchresult
['DevOps Engineer'],['LG CNS Việt Nam'],['Thương lượng'],"['Tầng 15, tòa Keangnam Landmark 72, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Phần Mềm'],['100-499 Nhân viên'],"['South-Korea, Vietnam']",['Từ 1 năm'],"['Junior, Middle, Senior']",['In Office'],['Fulltime'],"['Python', 'DevOps', 'Docker', 'CI/CD', 'bash']","['Vòng 1: Book an Interview Schedule with HR manager.', 'Vòng 2: 1st interview with VN Senior Leaders (Online/offline meeting room)', 'Vòng 3: 2nd Interview with Kr Senior PM (Online meeting room)', 'Vòng 4: If passed, negotiate salary and bonus.', 'Vòng 5: Confirm onboarding Date']",https://topdev.vn/viec-lam/devops-engineer-lg-cns-viet-nam-2034336?src=topdev_search&medium=searchresult
"['Back End Developer (.NET, C#, SQL)']",['LG CNS Việt Nam'],['Thương lượng'],"['Tầng 15, tòa Keangnam Landmark 72, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Phần Mềm'],['100-499 Nhân viên'],"['South-Korea, Vietnam']",['Từ 1 năm'],"['Junior, Middle, Senior']",['In Office'],['Fulltime'],"['C#', 'SQL', '.NET', 'Back-End']",[],https://topdev.vn/viec-lam/back-end-developer-net-c-sql-lg-cns-viet-nam-2034335?src=topdev_search&medium=searchresult
['Senior Application Security Specialist - Kiểm thử xâm nhập'],['Ngân hàng TMCP An Bình (ABBANK)'],['1.500 USD to 2.200 USD'],"['36 Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Ngân Hàng'],['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 5 năm'],['Senior'],['In Office'],['Fulltime'],"['C#', 'Python', 'IT Security', 'Security Engineer', 'Application Security']",[],https://topdev.vn/viec-lam/senior-application-security-specialist-kiem-thu-xam-nhap-ngan-hang-tmcp-an-binh-abbank-2034365?src=topdev_search&medium=searchresult
['Security Incident Management - Quản lý sự cố ATTT'],['Ngân hàng TMCP An Bình (ABBANK)'],['1.500 USD to 2.200 USD'],"['36 Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Ngân Hàng'],['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 5 năm'],['Senior'],['In Office'],['Fulltime'],"['IT Manager', 'IT Security', 'Security Engineer']",[],https://topdev.vn/viec-lam/security-incident-management-quan-ly-su-co-attt-ngan-hang-tmcp-an-binh-abbank-2034366?src=topdev_search&medium=searchresult
['Senior System Engineer'],['CÔNG TY TNHH SAMSUNG SDS VIỆT NAM'],['Thương lượng'],"['Tòa nhà PVI, số 1 Phạm Văn Bạch, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội']",['Đăng 20 giờ trước'],['Dịch vụ IT'],['Hơn 1000 Nhân viên'],['South-Korea'],['Từ 5 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['Linux', 'Database Administrator', 'Windows']","['Vòng 1: Review CV', 'Vòng 2: Interview with Technical Team']",https://topdev.vn/viec-lam/senior-system-engineer-cong-ty-tnhh-samsung-sds-viet-nam-2034306?src=topdev_search&medium=searchresult
